in factory
in factory1
out factory
-89.0909 0 -67.2727
-89.0909 0 -63.6364
-89.0909 0 -60
-89.0909 0 -56.3636
-89.0909 0 -52.7273
-89.0909 0 -49.0909
-89.0909 0 -45.4545
-89.0909 0 -41.8182
-89.0909 0 -38.1818
-89.0909 0 -34.5455
-89.0909 0 -30.9091
-89.0909 0 -27.2727
-89.0909 0 -23.6364
-89.0909 0 -20
-89.0909 0 -16.3636
-89.0909 0 -12.7273
-89.0909 0 -9.0909
-89.0909 0 -5.45454
-89.0909 0 -1.81818
-89.0909 0 1.81818
-89.0909 0 5.45455
-89.0909 0 9.09091
-89.0909 0 12.7273
-89.0909 0 16.3636
-89.0909 0 20
-89.0909 0 23.6364
-89.0909 0 27.2727
-89.0909 0 30.9091
-89.0909 0 34.5455
-89.0909 0 38.1818
-89.0909 0 41.8182
-89.0909 0 45.4545
-89.0909 0 49.0909
-89.0909 0 52.7273
-89.0909 0 56.3636
-89.0909 0 60
-89.0909 0 63.6364
-89.0909 0 67.2727
-89.0909 0 70.9091
-89.0909 0 74.5455
-89.0909 0 78.1818
-89.0909 0 81.8182
-89.0909 0 85.4545
-89.0909 0 89.0909
-89.0909 0 92.7273
-89.0909 0 96.3636
-85.4545 0 -100
-85.4545 0 -96.3636
-85.4545 0 -92.7273
-85.4545 0 -89.0909
-85.4545 0 -85.4545
-85.4545 0 -81.8182
-85.4545 0 -78.1818
-85.4545 0 -74.5455
-85.4545 0 -70.9091
-85.4545 0 -67.2727
-85.4545 0 -63.6364
-85.4545 0 -60
-85.4545 0 -56.3636
-85.4545 0 -52.7273
-85.4545 0 -49.0909
-85.4545 0 -45.4545
-85.4545 0 -41.8182
-85.4545 0 -38.1818
-85.4545 0 -34.5455
-85.4545 0 -30.9091
-85.4545 0 -27.2727
-85.4545 0 -23.6364
-85.4545 0 -20
-85.4545 0 -16.3636
-85.4545 0 -12.7273
-85.4545 0 -9.0909
-85.4545 0 -5.45454
-85.4545 0 -1.81818
-85.4545 0 1.81818
-85.4545 0 5.45455
-85.4545 0 9.09091
-85.4545 0 12.7273
-85.4545 0 16.3636
-85.4545 0 20
-85.4545 0 23.6364
-85.4545 0 27.2727
-85.4545 0 30.9091
-85.4545 0 34.5455
-85.4545 0 38.1818
-85.4545 0 41.8182
-85.4545 0 45.4545
-85.4545 0 49.0909
-85.4545 0 52.7273
-85.4545 0 56.3636
-85.4545 0 60
-85.4545 0 63.6364
-85.4545 0 67.2727
-85.4545 0 70.9091
-85.4545 0 74.5455
-85.4545 0 78.1818
-85.4545 0 81.8182
-85.4545 0 85.4545
-85.4545 0 89.0909
-85.4545 0 92.7273
-85.4545 0 96.3636
-81.8182 0 -100
-81.8182 0 -96.3636
-81.8182 0 -92.7273
-81.8182 0 -89.0909
-81.8182 0 -85.4545
-81.8182 0 -81.8182
-81.8182 0 -78.1818
-81.8182 0 -74.5455
-81.8182 0 -70.9091
-81.8182 0 -67.2727
-81.8182 0 -63.6364
-81.8182 0 -60
-81.8182 0 -56.3636
-81.8182 0 -52.7273
-81.8182 0 -49.0909
-81.8182 0 -45.4545
-81.8182 0 -41.8182
-81.8182 0 -38.1818
-81.8182 0 -34.5455
-81.8182 0 -30.9091
-81.8182 0 -27.2727
-81.8182 0 -23.6364
-81.8182 0 -20
-81.8182 0 -16.3636
-81.8182 0 -12.7273
-81.8182 0 -9.0909
-81.8182 0 -5.45454
-81.8182 0 -1.81818
-81.8182 0 1.81818
-81.8182 0 5.45455
-81.8182 0 9.09091
-81.8182 0 12.7273
-81.8182 0 16.3636
-81.8182 0 20
-81.8182 0 23.6364
-81.8182 0 27.2727
-81.8182 0 30.9091
-81.8182 0 34.5455
-81.8182 0 38.1818
-81.8182 0 41.8182
-81.8182 0 45.4545
-81.8182 0 49.0909
-81.8182 0 52.7273
-81.8182 0 56.3636
-81.8182 0 60
-81.8182 0 63.6364
-81.8182 0 67.2727
-81.8182 0 70.9091
-81.8182 0 74.5455
-81.8182 0 78.1818
-81.8182 0 81.8182
-81.8182 0 85.4545
-81.8182 0 89.0909
-81.8182 0 92.7273
-81.8182 0 96.3636
-78.1818 0 -100
-78.1818 0 -96.3636
-78.1818 0 -92.7273
-78.1818 0 -89.0909
-78.1818 0 -85.4545
-78.1818 0 -81.8182
-78.1818 0 -78.1818
-78.1818 0 -74.5455
-78.1818 0 -70.9091
-78.1818 0 -67.2727
-78.1818 0 -63.6364
-78.1818 0 -60
-78.1818 0 -56.3636
-78.1818 0 -52.7273
-78.1818 0 -49.0909
-78.1818 0 -45.4545
-78.1818 0 -41.8182
-78.1818 0 -38.1818
-78.1818 0 -34.5455
-78.1818 0 -30.9091
-78.1818 0 -27.2727
-78.1818 0 -23.6364
-78.1818 0 -20
-78.1818 0 -16.3636
-78.1818 0 -12.7273
-78.1818 0 -9.0909
-78.1818 0 -5.45454
-78.1818 0 -1.81818
-78.1818 0 1.81818
-78.1818 0 5.45455
-78.1818 0 9.09091
-78.1818 0 12.7273
-78.1818 0 16.3636
-78.1818 0 20
-78.1818 0 23.6364
-78.1818 0 27.2727
-78.1818 0 30.9091
-78.1818 0 34.5455
-78.1818 0 38.1818
-78.1818 0 41.8182
-78.1818 0 45.4545
-78.1818 0 49.0909
-78.1818 0 52.7273
-78.1818 0 56.3636
-78.1818 0 60
-78.1818 0 63.6364
-78.1818 0 67.2727
-78.1818 0 70.9091
-78.1818 0 74.5455
-78.1818 0 78.1818
-78.1818 0 81.8182
-78.1818 0 85.4545
-78.1818 0 89.0909
-78.1818 0 92.7273
-78.1818 0 96.3636
-74.5455 0 -100
-74.5455 0 -96.3636
-74.5455 0 -92.7273
-74.5455 0 -89.0909
-74.5455 0 -85.4545
-74.5455 0 -81.8182
-74.5455 0 -78.1818
-74.5455 0 -74.5455
-74.5455 0 -70.9091
-74.5455 0 -67.2727
-74.5455 0 -63.6364
-74.5455 0 -60
-74.5455 0 -56.3636
-74.5455 0 -52.7273
-74.5455 0 -49.0909
-74.5455 0 -45.4545
-74.5455 0 -41.8182
-74.5455 0 -38.1818
-74.5455 0 -34.5455
-74.5455 0 -30.9091
-74.5455 0 -27.2727
-74.5455 0 -23.6364
-74.5455 0 -20
-74.5455 0 -16.3636
-74.5455 0 -12.7273
-74.5455 0 -9.0909
-74.5455 0 -5.45454
-74.5455 0 -1.81818
-74.5455 0 1.81818
-74.5455 0 5.45455
-74.5455 0 9.09091
-74.5455 0 12.7273
-74.5455 0 16.3636
-74.5455 0 20
-74.5455 0 23.6364
-74.5455 0 27.2727
-74.5455 0 30.9091
-74.5455 0 34.5455
-74.5455 0 38.1818
-74.5455 0 41.8182
-74.5455 0 45.4545
-74.5455 0 49.0909
-74.5455 0 52.7273
-74.5455 0 56.3636
-74.5455 0 60
-74.5455 0 63.6364
-74.5455 0 67.2727
-74.5455 0 70.9091
-74.5455 0 74.5455
-74.5455 0 78.1818
-74.5455 0 81.8182
-74.5455 0 85.4545
-74.5455 0 89.0909
-74.5455 0 92.7273
-74.5455 0 96.3636
-70.9091 0 -100
-70.9091 0 -96.3636
-70.9091 0 -92.7273
-70.9091 0 -89.0909
-70.9091 0 -85.4545
-70.9091 0 -81.8182
-70.9091 0 -78.1818
-70.9091 0 -74.5455
-70.9091 0 -70.9091
-70.9091 0 -67.2727
-70.9091 0 -63.6364
-70.9091 0 -60
-70.9091 0 -56.3636
-70.9091 0 -52.7273
-70.9091 0 -49.0909
-70.9091 0 -45.4545
-70.9091 0 -41.8182
-70.9091 0 -38.1818
-70.9091 0 -34.5455
-70.9091 0 -30.9091
-70.9091 0 -27.2727
-70.9091 0 -23.6364
-70.9091 0 -20
-70.9091 0 -16.3636
-70.9091 0 -12.7273
-70.9091 0 -9.0909
-70.9091 0 -5.45454
-70.9091 0 -1.81818
-70.9091 0 1.81818
-70.9091 0 5.45455
-70.9091 0 9.09091
-70.9091 0 12.7273
-70.9091 0 16.3636
-70.9091 0 20
-70.9091 0 23.6364
-70.9091 0 27.2727
-70.9091 0 30.9091
-70.9091 0 34.5455
-70.9091 0 38.1818
-70.9091 0 41.8182
-70.9091 0 45.4545
-70.9091 0 49.0909
-70.9091 0 52.7273
-70.9091 0 56.3636
-70.9091 0 60
-70.9091 0 63.6364
-70.9091 0 67.2727
-70.9091 0 70.9091
-70.9091 0 74.5455
-70.9091 0 78.1818
-70.9091 0 81.8182
-70.9091 0 85.4545
-70.9091 0 89.0909
-70.9091 0 92.7273
-70.9091 0 96.3636
-67.2727 0 -100
-67.2727 0 -96.3636
-67.2727 0 -92.7273
-67.2727 0 -89.0909
-67.2727 0 -85.4545
-67.2727 0 -81.8182
-67.2727 0 -78.1818
-67.2727 0 -74.5455
-67.2727 0 -70.9091
-67.2727 0 -67.2727
-67.2727 0 -63.6364
-67.2727 0 -60
-67.2727 0 -56.3636
-67.2727 0 -52.7273
-67.2727 0 -49.0909
-67.2727 0 -45.4545
-67.2727 0 -41.8182
-67.2727 0 -38.1818
-67.2727 0 -34.5455
-67.2727 0 -30.9091
-67.2727 0 -27.2727
-67.2727 0 -23.6364
-67.2727 0 -20
-67.2727 0 -16.3636
-67.2727 0 -12.7273
-67.2727 0 -9.0909
-67.2727 0 -5.45454
-67.2727 0 -1.81818
-67.2727 0 1.81818
-67.2727 0 5.45455
-67.2727 0 9.09091
-67.2727 0 12.7273
-67.2727 0 16.3636
-67.2727 0 20
-67.2727 0 23.6364
-67.2727 0 27.2727
-67.2727 0 30.9091
-67.2727 0 34.5455
-67.2727 0 38.1818
-67.2727 0 41.8182
-67.2727 0 45.4545
-67.2727 0 49.0909
-67.2727 0 52.7273
-67.2727 0 56.3636
-67.2727 0 60
-67.2727 0 63.6364
-67.2727 0 67.2727
-67.2727 0 70.9091
-67.2727 0 74.5455
-67.2727 0 78.1818
-67.2727 0 81.8182
-67.2727 0 85.4545
-67.2727 0 89.0909
-67.2727 0 92.7273
-67.2727 0 96.3636
-63.6364 0 -100
-63.6364 0 -96.3636
-63.6364 0 -92.7273
-63.6364 0 -89.0909
-63.6364 0 -85.4545
-63.6364 0 -81.8182
-63.6364 0 -78.1818
-63.6364 0 -74.5455
-63.6364 0 -70.9091
-63.6364 0 -67.2727
-63.6364 0 -63.6364
-63.6364 0 -60
-63.6364 0 -56.3636
-63.6364 0 -52.7273
-63.6364 0 -49.0909
-63.6364 0 -45.4545
-63.6364 0 -41.8182
-63.6364 0 -38.1818
-63.6364 0 -34.5455
-63.6364 0 -30.9091
-63.6364 0 -27.2727
-63.6364 0 -23.6364
-63.6364 0 -20
-63.6364 0 -16.3636
-63.6364 0 -12.7273
-63.6364 0 -9.0909
-63.6364 0 -5.45454
-63.6364 0 -1.81818
-63.6364 0 1.81818
-63.6364 0 5.45455
-63.6364 0 9.09091
-63.6364 0 12.7273
-63.6364 0 16.3636
-63.6364 0 20
-63.6364 0 23.6364
-63.6364 0 27.2727
-63.6364 0 30.9091
-63.6364 0 34.5455
-63.6364 0 38.1818
-63.6364 0 41.8182
-63.6364 0 45.4545
-63.6364 0 49.0909
-63.6364 0 52.7273
-63.6364 0 56.3636
-63.6364 0 60
-63.6364 0 63.6364
-63.6364 0 67.2727
-63.6364 0 70.9091
-63.6364 0 74.5455
-63.6364 0 78.1818
-63.6364 0 81.8182
-63.6364 0 85.4545
-63.6364 0 89.0909
-63.6364 0 92.7273
-63.6364 0 96.3636
-60 0 -100
-60 0 -96.3636
-60 0 -92.7273
-60 0 -89.0909
-60 0 -85.4545
-60 0 -81.8182
-60 0 -78.1818
-60 0 -74.5455
-60 0 -70.9091
-60 0 -67.2727
-60 0 -63.6364
-60 0 -60
-60 0 -56.3636
-60 0 -52.7273
-60 0 -49.0909
-60 0 -45.4545
-60 0 -41.8182
-60 0 -38.1818
-60 0 -34.5455
-60 0 -30.9091
-60 0 -27.2727
-60 0 -23.6364
-60 0 -20
-60 0 -16.3636
-60 0 -12.7273
-60 0 -9.0909
-60 0 -5.45454
-60 0 -1.81818
-60 0 1.81818
-60 0 5.45455
-60 0 9.09091
-60 0 12.7273
-60 0 16.3636
-60 0 20
-60 0 23.6364
-60 0 27.2727
-60 0 30.9091
-60 0 34.5455
-60 0 38.1818
-60 0 41.8182
-60 0 45.4545
-60 0 49.0909
-60 0 52.7273
-60 0 56.3636
-60 0 60
-60 0 63.6364
-60 0 67.2727
-60 0 70.9091
-60 0 74.5455
-60 0 78.1818
-60 0 81.8182
-60 0 85.4545
-60 0 89.0909
-60 0 92.7273
-60 0 96.3636
-56.3636 0 -100
-56.3636 0 -96.3636
-56.3636 0 -92.7273
-56.3636 0 -89.0909
-56.3636 0 -85.4545
-56.3636 0 -81.8182
-56.3636 0 -78.1818
-56.3636 0 -74.5455
-56.3636 0 -70.9091
-56.3636 0 -67.2727
-56.3636 0 -63.6364
-56.3636 0 -60
-56.3636 0 -56.3636
-56.3636 0 -52.7273
-56.3636 0 -49.0909
-56.3636 0 -45.4545
-56.3636 0 -41.8182
-56.3636 0 -38.1818
-56.3636 0 -34.5455
-56.3636 0 -30.9091
-56.3636 0 -27.2727
-56.3636 0 -23.6364
-56.3636 0 -20
-56.3636 0 -16.3636
-56.3636 0 -12.7273
-56.3636 0 -9.0909
-56.3636 0 -5.45454
-56.3636 0 -1.81818
-56.3636 0 1.81818
-56.3636 0 5.45455
-56.3636 0 9.09091
-56.3636 0 12.7273
-56.3636 0 16.3636
-56.3636 0 20
-56.3636 0 23.6364
-56.3636 0 27.2727
-56.3636 0 30.9091
-56.3636 0 34.5455
-56.3636 0 38.1818
-56.3636 0 41.8182
-56.3636 0 45.4545
-56.3636 0 49.0909
-56.3636 0 52.7273
-56.3636 0 56.3636
-56.3636 0 60
-56.3636 0 63.6364
-56.3636 0 67.2727
-56.3636 0 70.9091
-56.3636 0 74.5455
-56.3636 0 78.1818
-56.3636 0 81.8182
-56.3636 0 85.4545
-56.3636 0 89.0909
-56.3636 0 92.7273
-56.3636 0 96.3636
-52.7273 0 -100
-52.7273 0 -96.3636
-52.7273 0 -92.7273
-52.7273 0 -89.0909
-52.7273 0 -85.4545
-52.7273 0 -81.8182
-52.7273 0 -78.1818
-52.7273 0 -74.5455
-52.7273 0 -70.9091
-52.7273 0 -67.2727
-52.7273 0 -63.6364
-52.7273 0 -60
-52.7273 0 -56.3636
-52.7273 0 -52.7273
-52.7273 0 -49.0909
-52.7273 0 -45.4545
-52.7273 0 -41.8182
-52.7273 0 -38.1818
-52.7273 0 -34.5455
-52.7273 0 -30.9091
-52.7273 0 -27.2727
-52.7273 0 -23.6364
-52.7273 0 -20
-52.7273 0 -16.3636
-52.7273 0 -12.7273
-52.7273 0 -9.0909
-52.7273 0 -5.45454
-52.7273 0 -1.81818
-52.7273 0 1.81818
-52.7273 0 5.45455
-52.7273 0 9.09091
-52.7273 0 12.7273
-52.7273 0 16.3636
-52.7273 0 20
-52.7273 0 23.6364
-52.7273 0 27.2727
-52.7273 0 30.9091
-52.7273 0 34.5455
-52.7273 0 38.1818
-52.7273 0 41.8182
-52.7273 0 45.4545
-52.7273 0 49.0909
-52.7273 0 52.7273
-52.7273 0 56.3636
-52.7273 0 60
-52.7273 0 63.6364
-52.7273 0 67.2727
-52.7273 0 70.9091
-52.7273 0 74.5455
-52.7273 0 78.1818
-52.7273 0 81.8182
-52.7273 0 85.4545
-52.7273 0 89.0909
-52.7273 0 92.7273
-52.7273 0 96.3636
-49.0909 0 -100
-49.0909 0 -96.3636
-49.0909 0 -92.7273
-49.0909 0 -89.0909
-49.0909 0 -85.4545
-49.0909 0 -81.8182
-49.0909 0 -78.1818
-49.0909 0 -74.5455
-49.0909 0 -70.9091
-49.0909 0 -67.2727
-49.0909 0 -63.6364
-49.0909 0 -60
-49.0909 0 -56.3636
-49.0909 0 -52.7273
-49.0909 0 -49.0909
-49.0909 0 -45.4545
-49.0909 0 -41.8182
-49.0909 0 -38.1818
-49.0909 0 -34.5455
-49.0909 0 -30.9091
-49.0909 0 -27.2727
-49.0909 0 -23.6364
-49.0909 0 -20
-49.0909 0 -16.3636
-49.0909 0 -12.7273
-49.0909 0 -9.0909
-49.0909 0 -5.45454
-49.0909 0 -1.81818
-49.0909 0 1.81818
-49.0909 0 5.45455
-49.0909 0 9.09091
-49.0909 0 12.7273
-49.0909 0 16.3636
-49.0909 0 20
-49.0909 0 23.6364
-49.0909 0 27.2727
-49.0909 0 30.9091
-49.0909 0 34.5455
-49.0909 0 38.1818
-49.0909 0 41.8182
-49.0909 0 45.4545
-49.0909 0 49.0909
-49.0909 0 52.7273
-49.0909 0 56.3636
-49.0909 0 60
-49.0909 0 63.6364
-49.0909 0 67.2727
-49.0909 0 70.9091
-49.0909 0 74.5455
-49.0909 0 78.1818
-49.0909 0 81.8182
-49.0909 0 85.4545
-49.0909 0 89.0909
-49.0909 0 92.7273
-49.0909 0 96.3636
-45.4545 0 -100
-45.4545 0 -96.3636
-45.4545 0 -92.7273
-45.4545 0 -89.0909
-45.4545 0 -85.4545
-45.4545 0 -81.8182
-45.4545 0 -78.1818
-45.4545 0 -74.5455
-45.4545 0 -70.9091
-45.4545 0 -67.2727
-45.4545 0 -63.6364
-45.4545 0 -60
-45.4545 0 -56.3636
-45.4545 0 -52.7273
-45.4545 0 -49.0909
-45.4545 0 -45.4545
-45.4545 0 -41.8182
-45.4545 0 -38.1818
-45.4545 0 -34.5455
-45.4545 0 -30.9091
-45.4545 0 -27.2727
-45.4545 0 -23.6364
-45.4545 0 -20
-45.4545 0 -16.3636
-45.4545 0 -12.7273
-45.4545 0 -9.0909
-45.4545 0 -5.45454
-45.4545 0 -1.81818
-45.4545 0 1.81818
-45.4545 0 5.45455
-45.4545 0 9.09091
-45.4545 0 12.7273
-45.4545 0 16.3636
-45.4545 0 20
-45.4545 0 23.6364
-45.4545 0 27.2727
-45.4545 0 30.9091
-45.4545 0 34.5455
-45.4545 0 38.1818
-45.4545 0 41.8182
-45.4545 0 45.4545
-45.4545 0 49.0909
-45.4545 0 52.7273
-45.4545 0 56.3636
-45.4545 0 60
-45.4545 0 63.6364
-45.4545 0 67.2727
-45.4545 0 70.9091
-45.4545 0 74.5455
-45.4545 0 78.1818
-45.4545 0 81.8182
-45.4545 0 85.4545
-45.4545 0 89.0909
-45.4545 0 92.7273
-45.4545 0 96.3636
-41.8182 0 -100
-41.8182 0 -96.3636
-41.8182 0 -92.7273
-41.8182 0 -89.0909
-41.8182 0 -85.4545
-41.8182 0 -81.8182
-41.8182 0 -78.1818
-41.8182 0 -74.5455
-41.8182 0 -70.9091
-41.8182 0 -67.2727
-41.8182 0 -63.6364
-41.8182 0 -60
-41.8182 0 -56.3636
-41.8182 0 -52.7273
-41.8182 0 -49.0909
-41.8182 0 -45.4545
-41.8182 0 -41.8182
-41.8182 0 -38.1818
-41.8182 0 -34.5455
-41.8182 0 -30.9091
-41.8182 0 -27.2727
-41.8182 0 -23.6364
-41.8182 0 -20
-41.8182 0 -16.3636
-41.8182 0 -12.7273
-41.8182 0 -9.0909
-41.8182 0 -5.45454
-41.8182 0 -1.81818
-41.8182 0 1.81818
-41.8182 0 5.45455
-41.8182 0 9.09091
-41.8182 0 12.7273
-41.8182 0 16.3636
-41.8182 0 20
-41.8182 0 23.6364
-41.8182 0 27.2727
-41.8182 0 30.9091
-41.8182 0 34.5455
-41.8182 0 38.1818
-41.8182 0 41.8182
-41.8182 0 45.4545
-41.8182 0 49.0909
-41.8182 0 52.7273
-41.8182 0 56.3636
-41.8182 0 60
-41.8182 0 63.6364
-41.8182 0 67.2727
-41.8182 0 70.9091
-41.8182 0 74.5455
-41.8182 0 78.1818
-41.8182 0 81.8182
-41.8182 0 85.4545
-41.8182 0 89.0909
-41.8182 0 92.7273
-41.8182 0 96.3636
-38.1818 0 -100
-38.1818 0 -96.3636
-38.1818 0 -92.7273
-38.1818 0 -89.0909
-38.1818 0 -85.4545
-38.1818 0 -81.8182
-38.1818 0 -78.1818
-38.1818 0 -74.5455
-38.1818 0 -70.9091
-38.1818 0 -67.2727
-38.1818 0 -63.6364
-38.1818 0 -60
-38.1818 0 -56.3636
-38.1818 0 -52.7273
-38.1818 0 -49.0909
-38.1818 0 -45.4545
-38.1818 0 -41.8182
-38.1818 0 -38.1818
-38.1818 0 -34.5455
-38.1818 0 -30.9091
-38.1818 0 -27.2727
-38.1818 0 -23.6364
-38.1818 0 -20
-38.1818 0 -16.3636
-38.1818 0 -12.7273
-38.1818 0 -9.0909
-38.1818 0 -5.45454
-38.1818 0 -1.81818
-38.1818 0 1.81818
-38.1818 0 5.45455
-38.1818 0 9.09091
-38.1818 0 12.7273
-38.1818 0 16.3636
-38.1818 0 20
-38.1818 0 23.6364
-38.1818 0 27.2727
-38.1818 0 30.9091
-38.1818 0 34.5455
-38.1818 0 38.1818
-38.1818 0 41.8182
-38.1818 0 45.4545
-38.1818 0 49.0909
-38.1818 0 52.7273
-38.1818 0 56.3636
-38.1818 0 60
-38.1818 0 63.6364
-38.1818 0 67.2727
-38.1818 0 70.9091
-38.1818 0 74.5455
-38.1818 0 78.1818
-38.1818 0 81.8182
-38.1818 0 85.4545
-38.1818 0 89.0909
-38.1818 0 92.7273
-38.1818 0 96.3636
-34.5455 0 -100
-34.5455 0 -96.3636
-34.5455 0 -92.7273
-34.5455 0 -89.0909
-34.5455 0 -85.4545
-34.5455 0 -81.8182
-34.5455 0 -78.1818
-34.5455 0 -74.5455
-34.5455 0 -70.9091
-34.5455 0 -67.2727
-34.5455 0 -63.6364
-34.5455 0 -60
-34.5455 0 -56.3636
-34.5455 0 -52.7273
-34.5455 0 -49.0909
-34.5455 0 -45.4545
-34.5455 0 -41.8182
-34.5455 0 -38.1818
-34.5455 0 -34.5455
-34.5455 0 -30.9091
-34.5455 0 -27.2727
-34.5455 0 -23.6364
-34.5455 0 -20
-34.5455 0 -16.3636
-34.5455 0 -12.7273
-34.5455 0 -9.0909
-34.5455 0 -5.45454
-34.5455 0 -1.81818
-34.5455 0 1.81818
-34.5455 0 5.45455
-34.5455 0 9.09091
-34.5455 0 12.7273
-34.5455 0 16.3636
-34.5455 0 20
-34.5455 0 23.6364
-34.5455 0 27.2727
-34.5455 0 30.9091
-34.5455 0 34.5455
-34.5455 0 38.1818
-34.5455 0 41.8182
-34.5455 0 45.4545
-34.5455 0 49.0909
-34.5455 0 52.7273
-34.5455 0 56.3636
-34.5455 0 60
-34.5455 0 63.6364
-34.5455 0 67.2727
-34.5455 0 70.9091
-34.5455 0 74.5455
-34.5455 0 78.1818
-34.5455 0 81.8182
-34.5455 0 85.4545
-34.5455 0 89.0909
-34.5455 0 92.7273
-34.5455 0 96.3636
-30.9091 0 -100
-30.9091 0 -96.3636
-30.9091 0 -92.7273
-30.9091 0 -89.0909
-30.9091 0 -85.4545
-30.9091 0 -81.8182
-30.9091 0 -78.1818
-30.9091 0 -74.5455
-30.9091 0 -70.9091
-30.9091 0 -67.2727
-30.9091 0 -63.6364
-30.9091 0 -60
-30.9091 0 -56.3636
-30.9091 0 -52.7273
-30.9091 0 -49.0909
-30.9091 0 -45.4545
-30.9091 0 -41.8182
-30.9091 0 -38.1818
-30.9091 0 -34.5455
-30.9091 0 -30.9091
-30.9091 0 -27.2727
-30.9091 0 -23.6364
-30.9091 0 -20
-30.9091 0 -16.3636
-30.9091 0 -12.7273
-30.9091 0 -9.0909
-30.9091 0 -5.45454
-30.9091 0 -1.81818
-30.9091 0 1.81818
-30.9091 0 5.45455
-30.9091 0 9.09091
-30.9091 0 12.7273
-30.9091 0 16.3636
-30.9091 0 20
-30.9091 0 23.6364
